order_id,customer_id,country,order_date,is_cancelled,revenue
489434,13085.0,United Kingdom,2009-12-01 07:45:00,False,505.3
489435,13085.0,United Kingdom,2009-12-01 07:46:00,False,145.8
489436,13078.0,United Kingdom,2009-12-01 09:06:00,False,630.33
489437,15362.0,United Kingdom,2009-12-01 09:08:00,False,310.75
489438,18102.0,United Kingdom,2009-12-01 09:24:00,False,2286.24
489439,12682.0,France,2009-12-01 09:28:00,False,426.3
489440,18087.0,United Kingdom,2009-12-01 09:43:00,False,50.4
489441,18087.0,United Kingdom,2009-12-01 09:44:00,False,344.34000000000003
489442,13635.0,United Kingdom,2009-12-01 09:46:00,False,382.37
489443,14110.0,United Kingdom,2009-12-01 09:50:00,False,285.06
489444,12636.0,USA,2009-12-01 09:55:00,False,141.0
489445,17519.0,United Kingdom,2009-12-01 09:57:00,False,308.44
489446,13758.0,United Kingdom,2009-12-01 10:06:00,False,996.1
489447,12362.0,Belgium,2009-12-01 10:10:00,False,130.0
489448,15413.0,United Kingdom,2009-12-01 10:18:00,False,570.24
489450,16321.0,Australia,2009-12-01 10:36:00,False,196.1
489460,16167.0,United Kingdom,2009-12-01 10:46:00,False,485.78999999999996
489461,17865.0,United Kingdom,2009-12-01 10:49:00,False,589.3299999999999
489462,17592.0,United Kingdom,2009-12-01 10:49:00,False,148.3
489465,13767.0,United Kingdom,2009-12-01 10:52:00,False,1197.8
489488,17238.0,United Kingdom,2009-12-01 10:59:00,False,251.1
489505,15712.0,United Kingdom,2009-12-01 11:17:00,False,255.5
489514,15311.0,United Kingdom,2009-12-01 11:21:00,False,823.02
489517,16329.0,United Kingdom,2009-12-01 11:34:00,False,250.06
489519,17700.0,United Kingdom,2009-12-01 11:37:00,False,696.73
489520,14911.0,EIRE,2009-12-01 11:41:00,False,733.63
489522,15998.0,United Kingdom,2009-12-01 11:45:00,False,700.31
489523,12931.0,United Kingdom,2009-12-01 11:46:00,False,1160.0
489525,,United Kingdom,2009-12-01 11:49:00,False,1.4
489526,12533.0,Germany,2009-12-01 11:50:00,False,929.92
489529,17984.0,United Kingdom,2009-12-01 11:51:00,False,212.63
489531,14871.0,United Kingdom,2009-12-01 11:57:00,False,145.0
489532,13394.0,United Kingdom,2009-12-01 11:58:00,False,304.53
489533,16011.0,United Kingdom,2009-12-01 12:02:00,False,181.5
489536,16393.0,United Kingdom,2009-12-01 12:13:00,False,341.02
489537,14040.0,United Kingdom,2009-12-01 12:14:00,False,633.33
